,id,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction
220,261,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,115,Clean,Very safe,Somewhat satisfied
221,819,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,12/31/2018,80,Somewhat clean,Neutral,Neutral
223,2924,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,12/31/2018,205,Somewhat clean,Somewhat safe,Somewhat satisfied
224,2245,Thursday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,12/31/2018,140,Average,Somewhat safe,Somewhat satisfied
225,238,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,115,Somewhat clean,Very safe,Somewhat satisfied
226,1077,Friday,AIR CANADA,CALGARY,Canada/Mexico,Medium,Gates 91-102,12/31/2018,385,Somewhat clean,Somewhat safe,Neutral
227,3176,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,120,Somewhat clean,Very safe,Somewhat satisfied
228,1798,Sunday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,12/31/2018,175,Average,Neutral,Neutral
229,1737,Monday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,420,Somewhat clean,Somewhat safe,Very satisfied
230,3264,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,12/31/2018,390,Somewhat clean,Very safe,Very satisfied
231,2663,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,152,Clean,Somewhat safe,Somewhat satisfied
232,1321,Thursday,JETBLUE,NEW YORK-JFK,East US,Hub,Gates 1-12,12/31/2018,276,Somewhat clean,Very safe,Neutral
233,2377,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,12/31/2018,250,Average,Neutral,Somewhat satisfied
234,3024,Thursday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,12/31/2018,105,Average,Somewhat safe,Somewhat satisfied
235,713,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,185,Clean,Very safe,Somewhat satisfied
236,2385,Wednesday,UNITED INTL,SYDNEY,Australia/New Zealand,Hub,Gates 91-102,12/31/2018,515,Somewhat clean,Very safe,Somewhat satisfied
237,1732,Monday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,100,Somewhat clean,Neutral,Somewhat satisfied
238,2878,Friday,EVA AIR,TAIPEI,Asia,Hub,Gates 91-102,12/31/2018,180,Clean,Very safe,Very satisfied
239,1607,Thursday,VIRGIN ATLANTIC,LONDON HEATHROW,eur,Hub,Gates 1-12,12/31/2018,200,Somewhat clean,Very safe,Neutral
240,2562,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,165,Clean,Very safe,Somewhat satisfied
241,2682,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,105,Somewhat clean,Somewhat safe,Neutral
242,1771,Thursday,AMERICAN,CHICAGO-O'HARE,Midwest US,Hub,Gates 50-59,12/31/2018,115,Clean,Very safe,Very satisfied
243,3265,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,12/31/2018,82,Clean,Somewhat safe,Somewhat satisfied
244,2937,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,12/31/2018,225,Average,Somewhat safe,Neutral
245,2550,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,300,Clean,Very safe,Very satisfied
246,810,Sunday,ALASKA,BALTIMORE,EAST US,Medium,Gates 50-59,12/31/2018,170,Clean,Somewhat safe,Neutral
248,664,Thursday,UNITED,NEWARK,EAST US,Hub,Gates 70-90,12/31/2018,120,Somewhat clean,Somewhat safe,Somewhat satisfied
249,2894,Thursday,DELTA,SALT LAKE CITY,West US,Medium,Gates 40-48,12/31/2018,125,Somewhat clean,Somewhat safe,Somewhat satisfied
250,2703,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,150,Clean,Very safe,Somewhat satisfied
251,2364,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,12/31/2018,105,Somewhat clean,Very safe,Somewhat satisfied
252,1038,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,12/31/2018,125,Somewhat clean,Somewhat safe,Neutral
253,3030,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,12/31/2018,150,Somewhat clean,Somewhat safe,Very satisfied
254,1438,Saturday,UNITED,PORTLAND,West US,Medium,Gates 70-90,12/31/2018,130,Somewhat clean,Very safe,Somewhat satisfied
255,1634,Thursday,KOREAN AIR,SEOUL,Asia,Hub,Gates 1-12,12/31/2018,120,Average,Neutral,Somewhat satisfied
256,2142,Wednesday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,12/31/2018,125,Somewhat clean,Somewhat safe,Neutral
257,3198,Tuesday,UNITED,ONTARIO (CALIF),West US,Small,Gates 70-90,12/31/2018,1365,Average,Somewhat safe,Somewhat unsatisfied
259,2658,Saturday,AEROMEXICO,MEXICO CITY,Canada/Mexico,Hub,Gates 1-12,12/31/2018,155,Somewhat clean,Somewhat safe,Somewhat satisfied
260,282,Thursday,UNITED,BALTIMORE,East US,Medium,Gates 70-90,12/31/2018,224,Clean,Very safe,Somewhat satisfied
261,100,Tuesday,UNITED,WASHINGTON DC-DULLES,EAST US,Medium,Gates 70-90,12/31/2018,120,Somewhat clean,Very safe,Somewhat satisfied
263,3243,Wednesday,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,12/31/2018,125,Clean,Very safe,Somewhat satisfied
265,1646,Saturday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,12/31/2018,350,Somewhat clean,Very safe,Neutral
267,662,Thursday,UNITED,NEWARK,EAST US,Hub,Gates 70-90,12/31/2018,225,Clean,Very safe,Very satisfied
269,622,Thursday,ALASKA,NEWARK,East US,Hub,Gates 50-59,12/31/2018,110,Somewhat clean,Very safe,Neutral
270,2132,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,12/31/2018,183,Average,Very safe,Somewhat satisfied
271,2395,Wednesday,UNITED INTL,BEIJING,Asia,Hub,Gates 91-102,12/31/2018,180,Somewhat clean,Somewhat safe,Very satisfied
272,2126,Monday,UNITED INTL,MEXICO CITY,Canada/Mexico,Hub,Gates 91-102,12/31/2018,190,Clean,Very safe,Somewhat satisfied
273,325,Thursday,UNITED,BURBANK,West US,Small,Gates 70-90,12/31/2018,55,Somewhat clean,Very safe,Somewhat satisfied
274,2531,Saturday,UNITED,NEWARK,East US,Hub,Gates 70-90,12/31/2018,130,Somewhat clean,Very safe,Very satisfied
275,3210,Thursday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,160,Somewhat clean,Very safe,Very satisfied
276,1816,Monday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,12/31/2018,215,Average,Somewhat safe,Somewhat satisfied
278,2852,Tuesday,UNITED,SEATTLE,West US,Hub,Gates 70-90,12/31/2018,607,Somewhat clean,Very safe,Neutral
279,3063,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,1/1/2018,215,Clean,Very safe,Somewhat satisfied
280,1923,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,185,Clean,Very safe,Somewhat satisfied
281,2785,Sunday,WOW,REYKJAVIK,Europe,Small,Gates 1-12,12/31/2018,195,Somewhat clean,Very safe,Somewhat satisfied
282,415,Saturday,UNITED,PHOENIX,West US,Hub,Gates 70-90,12/31/2018,55,Somewhat clean,Very safe,Very satisfied
283,419,Sunday,UNITED,INDIANAPOLIS,Midwest US,Medium,Gates 60-69,12/31/2018,173,Somewhat clean,Very safe,Somewhat satisfied
284,1669,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,195,Somewhat clean,Very safe,Somewhat satisfied
285,420,Sunday,UNITED,INDIANAPOLIS,Midwest US,Medium,Gates 60-69,12/31/2018,158,Somewhat clean,Somewhat safe,Somewhat satisfied
289,2473,Friday,UNITED,DENVER,West US,Hub,Gates 70-90,12/31/2018,231,Somewhat clean,Somewhat safe,Somewhat satisfied
290,1769,Thursday,AMERICAN,CHICAGO-O'HARE,Midwest US,Hub,Gates 50-59,12/31/2018,95,Somewhat clean,Very safe,Somewhat satisfied
291,2122,Thursday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,125,Average,Neutral,Neutral
292,2921,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,12/31/2018,235,Clean,Very safe,Very satisfied
293,1180,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,12/31/2018,55,Clean,Very safe,Somewhat satisfied
294,836,Sunday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,12/31/2018,155,Somewhat clean,Somewhat safe,Somewhat satisfied
295,2899,Thursday,DELTA,SALT LAKE CITY,West US,Medium,Gates 40-48,12/31/2018,105,Clean,Very safe,Very satisfied
296,659,Thursday,UNITED,NEWARK,EAST US,Hub,Gates 70-90,12/31/2018,135,Somewhat clean,Very safe,Neutral
297,2240,Thursday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,12/31/2018,110,Average,Somewhat safe,Somewhat satisfied
298,323,Thursday,UNITED,BURBANK,West US,Small,Gates 70-90,12/31/2018,250,Clean,Very safe,Very satisfied
299,506,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,12/31/2018,148,Average,Somewhat safe,Somewhat unsatisfied
300,2864,Tuesday,UNITED,SEATTLE,West US,Hub,Gates 70-90,12/31/2018,148,Somewhat clean,Somewhat safe,Neutral
302,2654,Saturday,AEROMEXICO,MEXICO CITY,Canada/Mexico,Hub,Gates 1-12,12/31/2018,230,Clean,Very safe,Somewhat satisfied
303,2662,Friday,UNITED,RALEIGH-DURHAM,East US,Medium,Gates 60-69,12/31/2018,105,Clean,Neutral,Somewhat satisfied
304,430,Sunday,UNITED,INDIANAPOLIS,Midwest US,Medium,Gates 60-69,12/31/2018,173,Clean,Very safe,Very satisfied
305,1281,Tuesday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,12/31/2018,150,Somewhat clean,Somewhat safe,Somewhat satisfied
306,2966,Wednesday,AMERICAN,CHARLOTTE,East US,Hub,Gates 50-59,12/31/2018,105,Clean,Very safe,Somewhat satisfied
307,1968,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,140,Somewhat clean,Somewhat safe,Somewhat satisfied
309,3249,Wednesday,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,12/31/2018,185,Clean,Very safe,Very satisfied
310,2941,Friday,TURKISH AIRLINES,ISTANBUL,middle east,Hub,Gates 91-102,12/31/2018,195,Somewhat clean,Somewhat safe,Neutral
311,2810,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,100,Somewhat clean,Neutral,Somewhat satisfied
313,2613,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,100,Somewhat clean,Somewhat safe,Neutral
314,1914,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,Hub,Gates 1-12,12/31/2018,185,Somewhat clean,Very safe,Somewhat satisfied
315,194,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,190,Somewhat clean,Somewhat safe,Somewhat satisfied
316,2316,Tuesday,UNITED,SAN ANTONIO,Midwest US,Medium,Gates 70-90,12/31/2018,150,Clean,Somewhat safe,Very satisfied
317,1430,Wednesday,UNITED,LAS VEGAS,West US,Hub,Gates 60-69,12/31/2018,82,Clean,Somewhat safe,Very satisfied
318,2881,Friday,EVA AIR,TAIPEI,Asia,Hub,Gates 91-102,12/31/2018,130,Clean,Very safe,Very satisfied
319,1864,Tuesday,UNITED,LOS ANGELES,West US,Hub,Gates 60-69,12/31/2018,100,Average,Somewhat safe,Somewhat unsatisfied
321,1702,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,120,Clean,Somewhat safe,Very satisfied
322,653,Friday,UNITED INTL,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,205,Somewhat clean,Neutral,Neutral
323,1500,Wednesday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,135,Somewhat clean,Neutral,Neutral
324,2660,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,132,Somewhat clean,Very safe,Somewhat satisfied
325,656,Thursday,UNITED,NEWARK,EAST US,Hub,Gates 70-90,12/31/2018,225,Somewhat clean,Very safe,Somewhat satisfied
326,1908,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,12/31/2018,115,Clean,Very safe,Somewhat satisfied
327,427,Sunday,UNITED,HONOLULU,West US,Medium,Gates 70-90,12/31/2018,485,Somewhat clean,Very safe,Somewhat satisfied
328,630,Thursday,ALASKA,NEWARK,East US,Hub,Gates 50-59,12/31/2018,85,Clean,Neutral,Very satisfied
329,1928,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,155,Somewhat clean,Somewhat safe,Somewhat satisfied
331,1587,Wednesday,DELTA,SALT LAKE CITY,West US,Medium,Gates 40-48,12/31/2018,110,Somewhat clean,Somewhat safe,Somewhat satisfied
332,1830,Monday,TURKISH AIRLINES,ISTANBUL,middle east,Hub,Gates 91-102,12/31/2018,135,Clean,Very safe,Very satisfied
333,2516,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,199,Clean,Somewhat safe,Somewhat satisfied
334,1076,Friday,AIR CANADA,CALGARY,Canada/Mexico,Medium,Gates 91-102,12/31/2018,295,Average,Somewhat safe,Somewhat satisfied
335,2943,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,125,Clean,Very safe,Very satisfied
336,2939,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,12/31/2018,585,Average,Very safe,Somewhat unsatisfied
337,605,Thursday,ALASKA,WASHINGTON DC-DULLES,EAST US,Medium,Gates 50-59,12/31/2018,85,Somewhat clean,Neutral,Somewhat satisfied
338,288,Thursday,UNITED,BALTIMORE,East US,Medium,Gates 70-90,12/31/2018,104,Somewhat clean,Somewhat safe,Somewhat satisfied
339,2622,Tuesday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,87,Somewhat clean,Somewhat safe,Neutral
340,3124,Sunday,COPA,PANAMA CITY,Central/South America,Medium,Gates 1-12,12/31/2018,143,Somewhat clean,Neutral,Somewhat satisfied
341,2431,Wednesday,AIR NEW ZEALAND,AUCKLAND,Australia/New Zealand,Medium,Gates 91-102,12/31/2018,220,Somewhat clean,Somewhat safe,Somewhat satisfied
342,1657,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,180,Average,Somewhat safe,Neutral
343,879,Tuesday,ALASKA,RALEIGH-DURHAM,EAST US,Medium,Gates 50-59,12/31/2018,160,Somewhat clean,Very safe,Somewhat satisfied
344,886,Tuesday,ALASKA,RALEIGH-DURHAM,EAST US,Medium,Gates 50-59,12/31/2018,175,Clean,Very safe,Somewhat satisfied
345,1557,Thursday,DELTA,NEW YORK-JFK,East US,Hub,Gates 40-48,12/31/2018,105,Somewhat clean,Very safe,Somewhat satisfied
346,806,Sunday,ALASKA,BALTIMORE,East US,Medium,Gates 50-59,12/31/2018,105,Somewhat clean,Somewhat safe,Somewhat satisfied
347,692,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,213,Average,Neutral,Neutral
348,196,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,100,Average,Neutral,Neutral
349,855,Tuesday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,12/31/2018,334,Somewhat clean,Very safe,Somewhat satisfied
350,3010,Wednesday,AMERICAN,MIAMI,EAST US,Hub,Gates 50-59,12/31/2018,88,Somewhat clean,Very safe,Somewhat satisfied
351,2338,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,12/31/2018,120,Somewhat clean,Very safe,Somewhat satisfied
353,1891,Wednesday,SINGAPORE AIRLINES,SINGAPORE,Asia,Hub,Gates 91-102,12/31/2018,140,Somewhat clean,Somewhat safe,Somewhat satisfied
354,2403,Wednesday,UNITED INTL,SYDNEY,Australia/New Zealand,Hub,Gates 91-102,12/31/2018,230,Average,Very safe,Neutral
355,448,Sunday,UNITED,HONOLULU,West US,Medium,Gates 70-90,12/31/2018,125,Somewhat clean,Somewhat safe,Somewhat satisfied
356,1182,Thursday,DELTA,NEW YORK-JFK,East US,Hub,Gates 40-48,12/31/2018,105,Average,Neutral,Neutral
357,1609,Thursday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,12/31/2018,230,Somewhat clean,Very safe,Neutral
360,3260,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,12/31/2018,120,Clean,Very safe,Very satisfied
361,308,Thursday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,12/31/2018,80,Clean,Very safe,Somewhat satisfied
362,972,Friday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,130,Average,Very safe,Neutral
363,1553,Wednesday,AIR CHINA,BEIJING,Asia,Hub,Gates 91-102,12/31/2018,185,Clean,Very safe,Very satisfied
364,1812,Sunday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,12/31/2018,175,Average,Somewhat safe,Somewhat satisfied
365,1061,Friday,AIR CANADA,CALGARY,Canada/Mexico,Medium,Gates 91-102,12/31/2018,295,Clean,Very safe,Very satisfied
366,1811,Monday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,12/31/2018,211,Somewhat clean,Somewhat safe,Somewhat satisfied
367,2714,Friday,UNITED,KAHULUI,West US,Small,Gates 60-69,12/31/2018,62,Clean,Very safe,Very satisfied
368,2724,Friday,UNITED,KAHULUI,West US,Small,Gates 60-69,12/31/2018,107,Clean,Very safe,Somewhat satisfied
369,229,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,70,Clean,Very safe,Neutral
370,1949,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,155,Somewhat clean,Somewhat safe,Somewhat satisfied
371,1897,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,145,Somewhat dirty,Neutral,Neutral
372,2239,Thursday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,12/31/2018,95,Somewhat clean,Somewhat safe,Somewhat satisfied
373,479,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,12/31/2018,88,Somewhat clean,Very safe,Somewhat satisfied
375,2170,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,12/31/2018,153,Average,Somewhat safe,Somewhat satisfied
377,2971,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 70-90,12/31/2018,250,Somewhat clean,Very safe,Very satisfied
378,2442,Tuesday,JETBLUE,BOSTON,EAST US,Large,Gates 1-12,12/31/2018,207,Somewhat clean,Neutral,Neutral
379,3207,Thursday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,70,Clean,Very safe,Somewhat satisfied
380,2926,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,12/31/2018,90,Clean,Very safe,Very satisfied
381,859,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,12/31/2018,685,Somewhat clean,Somewhat safe,Somewhat satisfied
383,2918,Thursday,DELTA,SEATTLE,West US,Hub,Gates 40-48,12/31/2018,90,Somewhat clean,Neutral,Somewhat satisfied
384,944,Thursday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,12/31/2018,165,Clean,Very safe,Very satisfied
385,418,Sunday,UNITED,HONOLULU,West US,Medium,Gates 70-90,12/31/2018,195,Somewhat clean,Very safe,Somewhat satisfied
386,1323,Tuesday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,12/31/2018,200,Clean,Very safe,Very satisfied
387,2480,Friday,UNITED,DENVER,West US,Hub,Gates 70-90,12/31/2018,101,Clean,Very safe,Somewhat satisfied
388,1750,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,145,Average,Somewhat safe,Somewhat satisfied
389,1131,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,90,Somewhat clean,Somewhat safe,Very satisfied
390,3193,Sunday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,1/1/2018,160,Somewhat clean,Very safe,Neutral
391,1322,Tuesday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,12/31/2018,180,Clean,Very safe,Somewhat satisfied
392,2166,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,12/31/2018,113,Clean,Very safe,Somewhat satisfied
393,555,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,225,Somewhat clean,Very safe,Somewhat satisfied
394,1757,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,175,Somewhat clean,Somewhat safe,Somewhat satisfied
395,1065,Friday,AIR CANADA,CALGARY,Canada/Mexico,Medium,Gates 91-102,12/31/2018,295,Somewhat clean,Very unsafe,Neutral
396,1298,Thursday,JETBLUE,NEW YORK-JFK,East US,Hub,Gates 1-12,12/31/2018,111,Average,Somewhat safe,Neutral
397,396,Friday,ALASKA,INDIANAPOLIS,Midwest US,Medium,Gates 50-59,12/31/2018,100,Somewhat clean,Somewhat safe,Somewhat satisfied
398,1383,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,12/31/2018,145,Average,Very safe,Neutral
399,1028,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,12/31/2018,135,Somewhat clean,Neutral,Somewhat unsatisfied
400,1813,Monday,UNITED INTL,LONDON HEATHROW,eur,Hub,Gates 91-102,12/31/2018,155,Average,Very safe,Neutral
401,331,Friday,ALASKA,SAN DIEGO,West US,Medium,Gates 50-59,12/31/2018,156,Average,Somewhat safe,Neutral
403,3091,Sunday,ALASKA,NEWARK,EAST US,Hub,Gates 50-59,12/31/2018,140,Clean,Very safe,Very satisfied
404,1315,Thursday,JETBLUE,NEW YORK-JFK,East US,Hub,Gates 1-12,12/31/2018,96,Clean,Somewhat safe,Neutral
406,352,Friday,LUFTHANSA,FRANKFURT,Europe,Hub,Gates 91-102,12/31/2018,240,Somewhat clean,Somewhat safe,Somewhat satisfied
407,1659,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,180,Clean,Very safe,Somewhat satisfied
408,1964,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,200,Clean,Somewhat safe,Somewhat satisfied
409,790,Thursday,UNITED INTL,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 91-102,12/31/2018,105,Average,Somewhat safe,Somewhat satisfied
410,1445,Saturday,UNITED,PORTLAND,West US,Medium,Gates 70-90,12/31/2018,85,Clean,Very safe,Somewhat satisfied
411,293,Thursday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,12/31/2018,182,Clean,Very safe,Very satisfied
414,294,Thursday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,12/31/2018,182,Somewhat clean,Very safe,Very satisfied
415,763,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,115,Somewhat clean,Neutral,Somewhat satisfied
416,1701,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,180,Average,Somewhat safe,Neutral
417,2472,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,139,Somewhat clean,Very safe,Neutral
418,2892,Sunday,WOW,REYKJAVIK,eur,Small,Gates 1-12,12/31/2018,175,Somewhat clean,Very safe,Somewhat unsatisfied
419,2612,Tuesday,JETBLUE,BOSTON,EAST US,Large,Gates 1-12,12/31/2018,120,Average,Neutral,Somewhat unsatisfied
421,263,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,175,Clean,Very safe,Neutral
422,3103,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,12/31/2018,105,Clean,Somewhat safe,Very satisfied
423,2275,Wednesday,WOW,REYKJAVIK,Europe,Small,Gates 91-102,12/31/2018,145,Clean,Very safe,Very satisfied
424,2688,Tuesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,12/31/2018,140,Average,Neutral,Neutral
426,2678,Friday,UNITED,ORLANDO,East US,Hub,Gates 70-90,12/31/2018,212,Clean,Somewhat safe,Very satisfied
427,539,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,30,Clean,Very safe,Very satisfied
428,2496,Friday,UNITED,DENVER,West US,Hub,Gates 70-90,12/31/2018,191,Clean,Neutral,Very satisfied
430,2916,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,12/31/2018,105,Clean,Very safe,Very satisfied
431,2299,Tuesday,UNITED,SAN ANTONIO,Midwest US,Medium,Gates 70-90,12/31/2018,120,Clean,Somewhat safe,Very satisfied
432,1853,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,12/31/2018,145,Clean,Very safe,Very satisfied
433,3014,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,12/31/2018,90,Somewhat clean,Neutral,Somewhat satisfied
434,1133,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,100,Somewhat clean,Somewhat safe,Very satisfied
435,2874,Friday,EVA AIR,TAIPEI,Asia,Hub,Gates 91-102,12/31/2018,100,Somewhat clean,Somewhat safe,Neutral
436,816,Sunday,ALASKA,BALTIMORE,East US,Medium,Gates 50-59,12/31/2018,110,Somewhat clean,Somewhat safe,Somewhat satisfied
437,249,Thursday,UNITED,NASHVILLE,Midwest US,Medium,Gates 70-90,12/31/2018,130,Clean,Very safe,Somewhat satisfied
438,2204,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,12/31/2018,210,Clean,Somewhat safe,Somewhat satisfied
439,2748,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,150,Somewhat clean,Very safe,Somewhat satisfied
440,335,Wednesday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,12/31/2018,180,Clean,Very safe,Somewhat satisfied
442,1922,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,135,Average,Neutral,Somewhat satisfied
443,1540,Thursday,DELTA,NEW YORK-JFK,East US,Hub,Gates 40-48,12/31/2018,105,Somewhat clean,Somewhat safe,Somewhat unsatisfied
444,715,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,175,Clean,Very safe,Somewhat satisfied
447,557,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,205,Somewhat dirty,Neutral,Somewhat satisfied
